,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,83,PF,1566774708,63,-23.12,-134.97,69.2,9.8
1,Punta Arenas,75,CL,1566774709,70,-53.16,-70.91,44.6,10.29
2,Lagoa,0,PT,1566774710,83,37.14,-8.45,69.8,1.12
3,Jamestown,0,AU,1566774578,65,-33.21,138.6,48.68,4.43
4,Port Macquarie,40,AU,1566774713,76,-31.43,152.91,70.0,5.82
5,Chokurdakh,95,RU,1566774714,82,70.62,147.9,51.2,10.2
6,Mataura,84,NZ,1566774716,81,-46.19,168.86,46.99,13.0
7,Te Anau,55,NZ,1566774717,70,-45.41,167.72,42.56,7.02
8,Hithadhoo,100,MV,1566774718,71,-0.6,73.08,82.34,8.19
9,Flinders,90,AU,1566774720,100,-34.58,150.85,55.99,6.93
10,Katsuura,75,JP,1566774721,83,33.93,134.5,80.01,4.7
11,Vaini,64,IN,1566774723,94,15.34,74.49,74.06,1.79
12,Ambositra,8,MG,1566774724,95,-20.53,47.24,45.98,3.09
13,Busselton,0,AU,1566774725,68,-33.64,115.35,42.01,10.51
14,Sorland,99,NO,1566774727,88,67.67,12.69,53.18,25.79
15,Carnarvon,0,ZA,1566774728,28,-30.97,22.13,49.94,6.06
16,Atuona,0,PF,1566774729,69,-9.8,-139.03,78.92,15.99
17,Narsaq,0,GL,1566774731,37,60.91,-46.05,53.6,8.05
18,Saint-Philippe,1,CA,1566774732,50,45.36,-73.48,77.0,3.36
19,Port Alfred,46,ZA,1566774733,83,-33.59,26.89,64.0,3.0
20,Qaanaaq,100,GL,1566774734,77,77.48,-69.36,34.46,4.41
21,Vardo,1,US,1566774736,49,39.62,-77.74,75.2,4.7
22,Iqaluit,90,CA,1566774737,65,63.75,-68.52,46.4,5.82
23,Ahuimanu,75,US,1566774738,55,21.44,-157.84,89.6,12.75
24,Hobart,20,AU,1566774714,75,-42.88,147.33,53.01,9.17
25,Dikson,100,RU,1566774741,97,73.51,80.55,41.3,8.88
26,Mamaku,59,NZ,1566774742,99,-38.1,176.07,61.0,10.0
27,Bandarbeyla,37,SO,1566774744,63,9.49,50.81,78.56,27.74
28,Ushuaia,0,AR,1566774717,93,-54.81,-68.31,42.8,5.32
29,West Bay,20,CA,1566774746,64,49.34,-123.21,72.0,9.17
30,Sao Filipe,14,CV,1566774748,84,14.9,-24.5,79.1,10.18
31,Balkanabat,0,TM,1566774749,13,39.51,54.36,79.46,2.48
32,Hit,0,IQ,1566774750,19,33.64,42.83,89.72,6.29
33,Mount Isa,0,AU,1566774752,25,-20.73,139.49,64.4,14.99
34,Upernavik,100,GL,1566774753,79,72.79,-56.15,42.56,1.14
35,Yellowknife,40,CA,1566774642,45,62.45,-114.38,66.2,2.24
36,Cabo San Lucas,40,MX,1566774505,52,22.89,-109.91,93.0,19.46
37,Avarua,89,CK,1566774664,78,-21.21,-159.78,78.8,9.17
38,Castro,90,CL,1566774758,93,-42.48,-73.76,46.4,11.41
39,Cape Town,75,ZA,1566774708,76,-33.93,18.42,59.0,2.24
40,Coquimbo,0,CL,1566774761,87,-29.95,-71.34,55.4,9.17
41,Thompson,75,CA,1566774658,88,55.74,-97.86,62.6,5.82
42,Monrovia,75,LR,1566774764,94,6.33,-10.8,77.0,11.41
43,Albany,20,US,1566774765,40,42.65,-73.75,73.4,3.36
44,Toyooka,20,JP,1566774766,83,35.55,134.82,71.6,8.05
45,Ciudad Bolivar,1,VE,1566774768,71,8.12,-63.55,81.26,5.23
46,Markova,90,RU,1566774769,93,52.21,104.21,53.6,6.71
47,Hudiksvall,61,SE,1566774770,86,61.73,17.1,56.96,0.92
48,Kahului,20,US,1566774771,48,20.89,-156.47,89.6,17.22
49,Tasiilaq,100,GL,1566774773,70,65.61,-37.64,44.6,12.75
50,Faanui,3,PF,1566774774,68,-16.48,-151.75,78.56,7.72
51,Quatre Cocos,40,MU,1566774775,73,-20.21,57.76,69.8,11.41
52,Shouguang,100,CN,1566774777,65,36.88,118.73,80.01,8.5
53,Komsomolskiy,100,RU,1566774779,73,67.55,63.78,42.38,3.83
54,Freetown,75,BS,1566774780,79,26.61,-78.36,86.0,12.75
55,Pisco,90,PE,1566774781,30,-13.71,-76.2,71.6,6.93
56,Constitucion,90,MX,1566774783,49,23.99,-104.67,75.0,4.7
57,Butaritari,81,KI,1566774784,74,3.07,172.79,84.86,13.2
58,Ponta do Sol,0,BR,1566774785,54,-20.63,-46.0,63.98,6.78
59,Pacific Grove,40,US,1566774574,64,36.62,-121.92,93.99,11.41
